# k  P_s(k)  (external_Pk format)
2.08711310e-02 2.24379621e-09
2.40229388e-02 2.23348350e-09
2.76507099e-02 2.22321820e-09
3.18263209e-02 2.21300008e-09
3.66325025e-02 2.20282892e-09
4.21644790e-02 2.19270450e-09
4.85318548e-02 2.18262662e-09
5.58607857e-02 2.17259506e-09
6.42964790e-02 2.16260961e-09
7.40060699e-02 2.15267005e-09
8.51819332e-02 2.14277617e-09
9.80454948e-02 2.13292776e-09
1.12851619e-01 2.12312462e-09
1.29893657e-01 2.11336654e-09
1.49509261e-01 2.10365330e-09
1.72087072e-01 2.09398471e-09
1.98074421e-01 2.08436056e-09
2.27986193e-01 2.07478064e-09
2.62415025e-01 2.06524475e-09
3.02043051e-01 2.05575268e-09
3.47655416e-01 2.04630425e-09
4.00155831e-01 2.03689924e-09
4.60584481e-01 2.02753745e-09
5.30138630e-01 2.01821869e-09
6.10196345e-01 2.00894277e-09
7.02343799e-01 1.99970947e-09
8.08406698e-01 1.99051862e-09
9.30486451e-01 1.98137000e-09
1.07100181e+00 1.97226344e-09
1.23273678e+00 1.96319873e-09
1.41889581e+00 1.95417568e-09
1.63316723e+00 1.94519410e-09
1.87979637e+00 1.93625380e-09
2.16366967e+00 1.92735459e-09
2.49041147e+00 1.91849628e-09
2.86649547e+00 1.90967869e-09
3.29937295e+00 1.90090163e-09
3.79762048e+00 1.89216490e-09
4.37110976e+00 1.88346833e-09
5.03120325e+00 1.87481173e-09
5.79097931e+00 1.86619491e-09
6.66549127e+00 1.85761770e-09
7.67206572e+00 1.84907991e-09
8.83064579e+00 1.84058136e-09
1.01641863e+01 1.83212188e-09
1.16991084e+01 1.82370127e-09
1.34658235e+01 1.81531936e-09
1.54993351e+01 1.80697598e-09
1.78399330e+01 1.79867095e-09
2.05339911e+01 1.79040408e-09
2.36348864e+01 1.78217521e-09
2.72040567e+01 1.77398416e-09
3.13122172e+01 1.76583076e-09
3.60407626e+01 1.75771484e-09
4.14833788e+01 1.74963621e-09
4.77478998e+01 1.74159471e-09
5.49584435e+01 1.73359018e-09
6.32578715e+01 1.72562243e-09
7.28106194e+01 1.71769131e-09
8.38059544e+01 1.70979663e-09
9.64617256e+01 1.70193824e-09
1.11028680e+02 1.69411597e-09
1.27795431e+02 1.68632965e-09
1.47094176e+02 1.67857912e-09
1.69307279e+02 1.67086421e-09
1.94874844e+02 1.66318476e-09
2.24303438e+02 1.65554060e-09
2.58176127e+02 1.64793158e-09
2.97164025e+02 1.64035753e-09
3.42039595e+02 1.63281828e-09
3.93691949e+02 1.62531370e-09
4.53144470e+02 1.61784360e-09
5.21575082e+02 1.61040783e-09
6.00339592e+02 1.60300624e-09
6.90998551e+02 1.59563867e-09
7.95348172e+02 1.58830497e-09
9.15455921e+02 1.58100496e-09
1.05370148e+03 1.57373851e-09
1.21282388e+03 1.56650546e-09
1.39597580e+03 1.55930565e-09
1.60678601e+03 1.55213893e-09
1.84943125e+03 1.54500515e-09
2.12871903e+03 1.53790416e-09
2.45018283e+03 1.53083581e-09
2.82019179e+03 1.52379994e-09
3.24607683e+03 1.51679641e-09
3.73627596e+03 1.50982507e-09
4.30050142e+03 1.50288577e-09
4.94993216e+03 1.49597836e-09
5.69743524e+03 1.48910270e-09
6.55782085e+03 1.48225864e-09
7.54813569e+03 1.47544604e-09
8.68800074e+03 1.46866475e-09
1.00000000e+04 1.46191462e-09
