# plik lowl lowE chi_eff_sq As ns tau
2.774889e+03 7.273513e+01 3.973432e+02 3.244967e+03 2.19123562 0.98014480 0.07195617
3.403323e+03 6.891663e+01 3.982106e+02 3.870450e+03 2.12511568 0.96537516 0.07472754
3.043408e+03 6.633021e+01 3.988047e+02 3.508543e+03 2.23779224 0.97664760 0.07665960
3.248496e+03 6.202079e+01 3.977952e+02 3.708312e+03 2.13138412 0.95717589 0.07230880
3.785723e+03 7.254582e+01 3.965578e+02 4.254827e+03 2.08171403 0.96574071 0.06802752
1.710007e+04 2.000000e+30 3.965537e+02 2.000000e+30 1.87872910 0.96811348 0.06978080
2.718258e+03 7.939697e+01 3.974523e+02 3.195107e+03 2.17837607 0.98603115 0.07339253
1.202741e+05 8.095168e+01 3.977060e+02 1.207528e+05 2.87184082 1.06955637 0.07568726
5.909091e+03 6.639969e+01 3.978507e+02 6.373341e+03 2.30272350 0.98589989 0.07359473
2.713480e+03 6.787808e+01 3.974956e+02 3.178854e+03 2.19333250 0.97399770 0.07217736
4.155919e+03 6.449227e+01 3.972157e+02 4.617627e+03 2.25450611 0.97771882 0.07048700
2.703448e+03 6.449384e+01 3.979281e+02 3.165870e+03 2.20188890 0.97008979 0.07337234
2.645462e+03 5.801706e+01 4.001201e+02 3.103599e+03 2.21739760 0.96084424 0.07907044
2.643374e+03 5.846903e+01 4.002952e+02 3.102138e+03 2.22012696 0.96182653 0.07958714
2.650996e+03 5.792724e+01 4.001542e+02 3.109077e+03 2.22257537 0.96136203 0.07911518
7.303034e+03 4.608861e+01 4.009667e+02 7.750089e+03 2.38533509 0.95711356 0.07853492
2.685376e+03 5.267887e+01 4.009256e+02 3.138981e+03 2.23405844 0.95341020 0.07996550
4.146182e+03 4.476009e+01 4.016368e+02 4.592579e+03 2.32634527 0.94675678 0.07961362
3.081802e+03 4.952437e+01 4.009301e+02 3.532256e+03 2.27518096 0.95230061 0.07930514
2.664066e+03 5.783322e+01 3.995973e+02 3.121496e+03 2.21987746 0.96120423 0.07752369
3.123184e+03 6.034821e+01 3.994335e+02 3.582965e+03 2.25488368 0.96976932 0.07766091
2.685389e+03 5.549218e+01 4.000346e+02 3.140915e+03 2.20762713 0.95547999 0.07820550
5.455710e+03 6.455539e+01 4.002037e+02 5.920469e+03 2.09688192 0.95413958 0.07999176
2.715055e+03 5.061955e+01 4.006374e+02 3.166311e+03 2.22501047 0.94844800 0.07872630
3.824046e+03 5.151758e+01 3.999011e+02 4.275465e+03 2.29336629 0.95906065 0.07711513
5.958882e+03 4.208279e+01 4.012440e+02 6.402209e+03 2.36801367 0.94299788 0.07768680
7.215612e+03 7.138591e+01 3.992589e+02 7.686257e+03 2.05031486 0.95695883 0.07818335
3.975080e+03 4.171921e+01 4.017986e+02 4.418597e+03 2.32313055 0.93696362 0.07877010
2.640745e+03 6.104907e+01 3.990857e+02 3.100879e+03 2.20657825 0.96478372 0.07665849
2.646874e+03 6.110748e+01 3.991876e+02 3.107169e+03 2.19656329 0.96351338 0.07680172
2.986094e+03 5.687527e+01 3.993629e+02 3.442332e+03 2.24891731 0.96350417 0.07676950
3.809932e+03 6.611162e+01 3.996768e+02 4.275721e+03 2.13116478 0.96136418 0.07893915
4.867393e+03 6.094930e+01 3.990440e+02 5.327386e+03 2.09980509 0.95024541 0.07614997
2.875395e+03 6.491575e+01 3.993261e+02 3.339637e+03 2.16832396 0.96508754 0.07779065
9.136775e+03 4.348068e+01 4.019312e+02 9.582187e+03 2.42606049 0.95375642 0.07996695
2.659692e+03 5.660679e+01 3.996209e+02 3.115920e+03 2.20810600 0.95766144 0.07728342
3.695542e+03 5.257321e+01 3.996079e+02 4.147723e+03 2.28513685 0.96024493 0.07658869
8.503245e+03 8.516104e+01 3.983813e+02 8.986787e+03 2.01303682 0.96754787 0.07697868
2.734590e+03 4.922573e+01 4.009365e+02 3.184753e+03 2.23856451 0.94715731 0.07918906
2.711789e+03 5.725584e+01 3.998364e+02 3.168881e+03 2.19760496 0.95721570 0.07803330
2.974023e+03 6.614721e+01 3.984121e+02 3.438582e+03 2.14962548 0.96494069 0.07504525
2.715795e+03 5.405084e+01 3.993494e+02 3.169195e+03 2.22509087 0.95560637 0.07601055
3.566360e+03 7.351684e+01 3.987227e+02 4.038600e+03 2.12321005 0.97034408 0.07708755
2.865810e+03 6.192986e+01 3.997657e+02 3.327506e+03 2.17696791 0.96169667 0.07868553
2.947664e+03 4.990708e+01 4.011883e+02 3.398759e+03 2.26906587 0.95225374 0.07997632
4.743885e+03 6.774278e+01 3.982298e+02 5.209857e+03 2.08738853 0.95853357 0.07459595
6.766696e+03 5.213560e+01 3.992781e+02 7.218110e+03 2.35108202 0.96751861 0.07569827
3.648593e+03 6.319811e+01 3.959059e+02 4.107697e+03 2.20250133 0.97147549 0.06105182
1.585322e+04 4.950964e+01 3.988456e+02 1.630158e+04 2.30241632 0.96452233 0.03886299
2.677852e+03 6.630312e+01 3.991468e+02 3.143302e+03 2.21305202 0.97309159 0.07764841
2.695716e+03 5.670331e+01 3.998011e+02 3.152220e+03 2.22841124 0.96034592 0.07783486
2.926634e+03 7.378203e+01 3.986081e+02 3.399024e+03 2.15037969 0.97457309 0.07670747
2.871711e+03 5.163652e+01 4.004462e+02 3.323793e+03 2.25549768 0.95434754 0.07859964
2.678726e+03 6.615223e+01 3.991340e+02 3.144012e+03 2.18449317 0.96907351 0.07754610
4.432231e+03 5.987995e+01 3.985093e+02 4.890621e+03 2.10513308 0.94977579 0.07439526
